ISO3_code,Location,Time,n_male_dependent,n_male_working,n_female_dependent,n_female_working,n_total_dependent,n_total_working,r_male_dependent,r_male_working,r_female_dependent,r_female_working,r_total_dependent,r_total_working,time_period
AUS,Australia,1950,1414549,2705803,1428417,2628402,2842962.9999999995,5334206,0.5227834398882698,1.9128379434010416,0.5434545400589407,1.840080312681801,0.5329683555528226,1.876284003696144,observed
AUS,Australia,1951,1477834,2774884,1493271,2673848,2971106,5448730,0.5325750553897028,1.8776696164792526,0.5584726581316515,1.7905979557628857,0.5452841304303939,1.8339062961738828,observed
AUS,Australia,1952,1537214,2830014,1554532,2711033,3091745,5541045,0.5431824718888316,1.8410019684962537,0.5734094715925627,1.7439544505999234,0.5579714656711865,1.7922063430198805,observed
AUS,Australia,1953,1594551,2868393,1614130.9999999998,2742089,3208677,5610486,0.5559039504001021,1.7988719081421667,0.5886501131071967,1.698802017927913,0.5719071395953934,1.7485356114061963,observed
AUS,Australia,1954,1652262,2902652,1674225.0000000002,2774238,3326475,5676889,0.5692249708197882,1.7567746519619771,0.6034900394270427,1.6570281772163238,0.5859679482899877,1.7065779842024966,observed
AUS,Australia,1955,1711970,2948969,1736240,2812669,3448203,5761641,0.5805317044702741,1.7225588065211423,0.6172926853461961,1.6199770769018107,0.5984758508903975,1.6709111963535788,observed
AUS,Australia,1956,1770403,3004329,1797390,2857699,3567785,5862023,0.5892839965263458,1.6969746436263382,0.6289640721433574,1.5899159336593616,0.6086269194099033,1.6430426721341114,observed
AUS,Australia,1957,1825550,3055734,1856581,2906326,3682126,5962064,0.5974178380709839,1.6738703404453452,0.6388068647495153,1.565418368495638,0.6175924981684195,1.6191906523568178,observed
AUS,Australia,1958,1877890,3103452,1914172,2957641,3792056,6061090,0.6050971627722935,1.6526271506850774,0.6471955183201747,1.5451281285067382,0.6256392827032762,1.5983651085321524,observed
AUS,Australia,1959,1925325,3159705,1967152,3013513,3892468,6173215,0.6093369475947913,1.6411281212262865,0.6527770080965306,1.5319166998788094,0.6305414601629783,1.5859385356539861,observed
AUS,Australia,1960,1970293.9999999998,3226583,2017754.9999999998,3072016,3988045,6298603,0.6106441396362653,1.6376149955285861,0.6568178681361034,1.5224920765900718,0.6331634173482596,1.579371095361261,observed
AUS,Australia,1961,2010014.0000000002,3296402,2064071,3135454,4074080,6431860,0.6097599746632845,1.6399895722119349,0.6583005204349991,1.519063055485979,0.6334217473639041,1.5787269763971252,observed
AUS,Australia,1962,2039684,3365252,2101057,3205949,4140741,6571202,0.6061014152877704,1.649888904359695,0.655361953668009,1.5258743575257598,0.6301344868107843,1.5869628165586789,observed
AUS,Australia,1963,2068110.9999999998,3435414,2136041,3277816,4204143,6713234,0.6019976049465944,1.661136176926674,0.6516659263363167,1.5345285975316014,0.6262470517190373,1.596813904760138,observed
AUS,Australia,1964,2098855,3509932,2172116,3350709,4270967,6860641,0.5979759721840765,1.672307996502855,0.648255637836649,1.5426013159518184,0.622531772176973,1.6063437156035156,observed
AUS,Australia,1965,2130633,3590902,2208106,3429807,4338739,7020702.999999999,0.5933420071057355,1.6853686204991665,0.6437989076353277,1.553280050867123,0.6179921013607896,1.6181436587911835,observed
AUS,Australia,1966,2162456,3674163.9999999995,2243041,3513027,4405487,7187188,0.5885572881341171,1.6990699463942849,0.6384923884729609,1.566189383074139,0.6129639297038008,1.6314173665703702,observed
AUS,Australia,1967,2189099,3754035,2271744,3594237,4460840,7348274,0.5831322829968288,1.714876759799351,0.6320518096052097,1.5821487808485462,0.6070595625585001,1.6472848163126228,observed
AUS,Australia,1968,2215075,3836130,2298777,3677288,4513851,7513417,0.5774243834280902,1.7318284933918717,0.62512835546196,1.5996714774856369,0.6007720588382089,1.6645248148421383,observed
AUS,Australia,1969,2248486,3922685,2332597,3764589,4581081,7687269.999999999,0.5732007540753336,1.7445894704258778,0.6196153152442405,1.6139045878906642,0.5959308050842498,1.6780471683430176,observed
AUS,Australia,1970,2300158,4032869,2384796,3877216,4684953,7910085,0.570352768711307,1.7533008602017777,0.6150794797091521,1.6258061486181627,0.5922759363521378,1.6884022102249476,observed
AUS,Australia,1971,2364192,4165709,2450931,4012997,4815124,8178713,0.5675365225943532,1.7620011403473153,0.6107482761636752,1.637335771590469,0.5887385949354135,1.6985467040931863,observed
AUS,Australia,1972,2409568,4271286,2500448,4119004,4910019.999999999,8390299,0.5641317392466813,1.7726355927701563,0.6070516076216483,1.6473064026926376,0.5852020291529538,1.708811573068949,observed
AUS,Australia,1973,2434370,4350935,2529139,4198871,4963505,8549813,0.5595050259312078,1.787294043222682,0.6023378665360284,1.6601977985393448,0.5805395977666412,1.722535385780814,observed
AUS,Australia,1974,2452653,4429721,2550151,4280875,5002794,8710598,0.5536811460586343,1.8060936463494839,0.5957078868222033,1.6786751059054936,0.5743341616729414,1.7411466472535149,observed
AUS,Australia,1975,2462732,4501315,2564971,4357851,5027703,8859162,0.5471138989384213,1.8277729773276181,0.5885862091200457,1.6989864602757692,0.5675145120949363,1.7620694778510186,observed
AUS,Australia,1976,2464955,4568237,2575194,4429688,5040146,8997932,0.5395856213239374,1.8532739948599468,0.5813488444332874,1.7201375896340239,0.5601449310797192,1.7852522526133174,observed
AUS,Australia,1977,2466075,4637972,2585540,4503782,5051608,9141757,0.5317140767559614,1.8807100351773567,0.5740819604501284,1.7419115542594585,0.5525861166513177,1.8096726824409177,observed
AUS,Australia,1978,2470124.0000000005,4708517,2598361,4578816,5068476,9287338,0.5246076418541126,1.9061864910425548,0.5674744300710053,1.762193936870204,0.5457404479087549,1.832372886840147,observed
AUS,Australia,1979,2477855,4777235,2613432.0000000005,4652012,5091285,9429244,0.5186797383842328,1.9279719757612934,0.5617853092382393,1.7800394270828548,0.5399462565609713,1.8520361755431096,observed
AUS,Australia,1980,2493023,4849964,2634972,4728363,5128000,9578329,0.5140291762990407,1.9454148638018982,0.5572693974637735,1.7944642296009217,0.5353752204585999,1.867848868954758,observed
AUS,Australia,1981,2516355,4936003,2664368,4813345,5180715,9749340,0.5097960839975179,1.961568618100387,0.5535377164944545,1.8065616311260309,0.5313913557225413,1.8818522153795374,observed
AUS,Australia,1982,2541330,5030720,2694716,4901688,5236038,9932408,0.5051622829336556,1.9795618829510533,0.5497526566358364,1.8189998500769655,0.5271670273714089,1.8969319932361073,observed
AUS,Australia,1983,2559752,5120545,2717962,4984825,5277709,10105370,0.49989835066384536,2.0004066800221274,0.5452472253288732,1.8340304242664172,0.5222677645647809,1.9147266361218478,observed
AUS,Australia,1984,2572580,5205928,2735710,5065258,5308289,10271189,0.49416357659959953,2.0236214228517677,0.540092923203517,1.8515332399998536,0.5168134867345932,1.9349340248807103,observed
AUS,Australia,1985,2586253,5296285,2752978,5150181,5339218,10446467,0.4883145450065471,2.0478603601426464,0.5345400482041311,1.8707672200794918,0.511102748900657,1.9565537500060872,observed
AUS,Australia,1986,2603054,5393115,2772412,5243720,5375464,10636835,0.4826624316373747,2.0718413832367673,0.5287109151518387,1.8913927655774108,0.5053631084810473,1.9787752275896553,observed
AUS,Australia,1987,2625133,5491773,2797439,5344904,5422567,10836684,0.47801192802397324,2.0919980054343914,0.5233843301956405,1.9106418406263732,0.5003898794132966,1.9984416974469839,observed
AUS,Australia,1988,2655512,5590834,2831295,5448268,5486800,11039101,0.4749760053687876,2.1053695106631034,0.519668819522094,1.924302483492536,0.49703322761518354,2.011937923744259,observed
AUS,Australia,1989,2692299,5686586,2870288,5547422,5562581,11234005,0.47344733729517147,2.11216733356882,0.5174093479818194,1.9327057075805631,0.4951556457380961,2.0195669959682383,observed
AUS,Australia,1990,2732870,5768630,2911513,5634992,5644380,11403622,0.4737467995000546,2.1108322020440053,0.5166844957366399,1.935417083832358,0.4949637930825838,2.0203497992693618,observed
AUS,Australia,1991,2774958,5833327,2954845,5707969,5729800,11541293,0.47570760219682523,2.1021316358662006,0.5176701204929459,1.931732121312624,0.496460838486641,2.0142575657090998,observed
AUS,Australia,1992,2813468,5885580,2995415,5768046,5808881,11653619,0.4780273142154214,2.0919306706171885,0.5193119125610302,1.9256249968702168,0.4984615508710213,2.006172789561363,observed
AUS,Australia,1993,2847597,5931607,3031806,5820499,5879403,11752110,0.48007175795699214,2.0830219304206317,0.5208842059761543,1.9198124814054724,0.5002848850121382,1.998861108857481,observed
AUS,Australia,1994,2880479,5981943.999999999,3066292,5876795,5946768,11858737,0.4815289143462393,2.0767184902233273,0.5217626274185163,1.9165803517734123,0.5014672304478968,1.9941482499401355,observed
AUS,Australia,1995,2913858,6043510,3100759.9999999995,5944871,6014619,11988383,0.48214663333063074,2.0740578298599313,0.5215857501365462,1.9172302919284305,0.5017039412237664,1.9932073835433302,observed
AUS,Australia,1996,2946062,6110327,3133695,6021772,6079759,12132090,0.4821447362800714,2.0740659904645593,0.5203941630470234,1.921620323611583,0.5011303905592523,1.9954886369673535,observed
AUS,Australia,1997,2974637,6174437,3161975,6099205,6136609,12273646,0.4817665157163317,2.0756942779908942,0.5184241224880948,1.9289225879394998,0.49998256426818893,2.000069745359367,observed
AUS,Australia,1998,3001050,6237847,3187541,6175233,6188587,12413079,0.48110349612614745,2.0785548391396342,0.5161814946901598,1.937303080964292,0.498553743192966,2.00580180903977,observed
AUS,Australia,1999,3027323,6306190,3212536,6254856,6239856,12561036,0.4800557864574331,2.0830912327491977,0.5136067081320498,1.9470150684692715,0.49676284663144027,2.013032993069071,observed
AUS,Australia,2000,3056661,6380995,3239380,6340930,6296042,12721926,0.47902576322344714,2.0875703913518704,0.5108682795741318,1.9574517345911873,0.49489692048200884,2.020622797624285,observed
AUS,Australia,2001,3088706,6461729,3267912.0000000005,6429791,6356621,12891525,0.4779999285021083,2.0920505221280368,0.508245446858226,1.9675532878486324,0.49308526338039915,2.0280468192141705,observed
AUS,Australia,2002,3118273,6546110,3294085,6517390,6412350,13063492,0.4763551177722342,2.0992741815742235,0.505430087811225,1.9785130013342098,0.4908603304537562,2.0372393896153516,observed
AUS,Australia,2003,3146467,6629961,3319321,6603251,6465788,13233216,0.4745830329922001,2.1071128348080563,0.5026798163510671,1.9893378796446624,0.4886029216178441,2.046651699684555,observed
AUS,Australia,2004,3176505,6713874,3346178,6688500,6522687,13402374,0.47312550101476436,2.1136041026222214,0.5002882559617253,1.9988476405020894,0.48668146404510126,2.054732045244544,observed
AUS,Australia,2005,3210552,6804824,3377013,6779345,6587559,13584172,0.4718052957725285,2.11951838811519,0.4981326367075285,2.007497454111074,0.4849437271553982,2.0620949277266436,observed
AUS,Australia,2006,3253861,6912191,3416943,6884042,6670801,13796230,0.4707423449380956,2.1243043264601655,0.4963570820747462,2.0146786177000906,0.4835234698174792,2.0681519355771516,observed
AUS,Australia,2007,3310279,7043522,3468774,7008255,6779059,14051772,0.4699749642295431,2.12777291581767,0.4949554489669682,2.0203838589657326,0.4824344573766212,2.072820431272246,observed
AUS,Australia,2008,3376887,7193347,3529735,7147908,6906632,14341243,0.4694458643521577,2.130171071759286,0.4938137144462408,2.025055138700214,0.4815922859685175,2.0764452196092105,observed
AUS,Australia,2009,3448332,7333902,3595987,7282673,7044325,14616574,0.4701906297629829,2.1267969557455606,0.4937729594614505,2.0252222825054704,0.4819409117348566,2.074943163468466,observed
AUS,Australia,2010,3520313,7440970,3662904,7394977,7183213,14835953,0.47309866858756316,2.1137239785212283,0.4953232444130658,2.0188836507863708,0.48417604180870616,2.065364482439822,observed
AUS,Australia,2011,3599083,7528420,3735892,7493643,7334976,15022057,0.4780661812173072,2.0917605956850673,0.4985414971062806,2.0058510792067867,0.4882803999478899,2.0480035653831727,observed
AUS,Australia,2012,3691969,7618865,3822607,7595839,7514575,15214698,0.4845825460879016,2.0636318994011056,0.5032501347119127,1.9870834223868685,0.4939023436416549,2.0246917490343765,observed
AUS,Australia,2013,3788481,7707912,3913871,7701516,7702352,15409437,0.491505481640164,2.0345653046696026,0.5081948800729623,1.9677490648005516,0.499846425278224,2.0006144876266365,observed
